,std_bond_length,skew_bond_length,distortion_index,quadratic_elongation,n_corner_pairs,n_edge_pairs,n_face_pairs,n_atoms_in_cell,avg_bond_angles,std_bond_length_angles,skew_bond_length_angles,volumes,bond_angle_variance,central_atoms,polyhedra_formula,poly_types,n_atoms_per_cell,Formula,cif_name,Structure type,Mol wt (g/mol),Total Number of TM,Capacity (mAh/g),1st Discharge (mAh/g),1st Charge (mAh/g),1st Charge/1st Discharge Ratio,2nd Discharge (mAh/g),2nd/1st Discharge Ratio,x moles of Li+,Li/TM ,Rate of cycling (nC),m (width),n (height),Repeat ,Cycling Shape,Paper with reported capacity,Structure,Area,Perimeter,num_edge_pairs/num_corner_pairs
0,0.01697078,0.7071067811865467,0.008409212,1.206139242,32,8,0,64,89.95853335536793,2.181422846557413,0.056972019,9.006897087851167,5.193081947017843,W,O6,Octahedron,64,WO3,(Nb0.118 W0.882)O2.941,,,,,,,,,,,,,,,,,,,,,0.25
1,0.1663979657763934,-0.781691554,0.0705011,1.2351385370151695,126,84,0,180,90.11983910704872,4.657257995264192,-0.089245676,9.219937222264614,26.820550842078827,V,O6,Octahedron,180,V3O7,(W0.2V0.8)3O7,WR,344.56,1,180,286.96,267.39,0.931802342,263.81,0.919326735,2.671048142,2.671048142,5,4,4,1,Symmetric,10.1021/acs.chemmater.0c03496?ref=pdf,Wadsley-Roth,16,16,0.666666667
2,0.1854747954113778,0.025801784,0.072053362,1.2517064564481086,184,140,0,348,92.07899739866184,10.649399217203712,0.6002847305701601,10.236110666015987,178.78335734420412,Nb,O6,Octahedron,348,Nb25O62,Al0.5Nb24.5O62,ReO3,35947.84,1,300,337.92,322.68,,1.047229453,,402.380341,402.380341,0.1,3,4,inf,Symmetric,10.1039/C9TA04644E,Wadsley-Roth,12,14,0.760869565
3,0.7797641527373617,-0.346983634,0.2949778033656198,4.767468288785123,184,140,0,348,102.92119774463042,29.02003052025863,-0.248132327,9.687836362,,Nb,O6,Trigonal prism,348,Nb25O62,Al0.5Nb24.5O62,ReO3,35947.84,1,300,337.92,322.68,,1.047229453,,402.380341,402.380341,0.1,3,4,inf,Symmetric,10.1039/C9TA04644E,Wadsley-Roth,12,14,0.760869565
4,0.01408436,0.016312908,0.007273188,1.199996588035511,128,32,0,96,89.99683656759603,4.415353731338064,0.073558403,9.016374144989053,21.267663905613308,Al,O6,Octahedron,96,AlWO4,AlWO4,,,,,,,,,,,,,,,,,,,,,0.25
5,0.048572553,-0.202026513,0.021293722,1.1973271641963343,128,32,0,96,90.01097434,2.166196829188883,-1.86348368,9.916278109694373,5.119122697026178,W,O6,Octahedron,96,AlWO4,AlWO4,,,,,,,,,,,,,,,,,,,,,0.25
6,0.1399471043821347,-0.168960881,0.062601382,1.2175820547563712,112,16,0,112,90.00847831844962,2.474661211302784,-0.074775867,10.43189927038886,6.680749082847595,Nb,O6,Octahedron,112,Nb2O5,B-Nb2O5,,,,,,,,,,,,,,,,,,,,,0.142857143
7,0.045201892,0.4452445483450141,0.017221081,1.269039475341092,192,48,0,144,90.02401260852953,6.866001558188527,0.104876192,16.060408063963134,51.428240729908005,Ca,O6,Octahedron,144,CaNb2O6,CaNb2O6,Columbite,321.89,3,22.48089409,42.69704626,33.63807857,0.787831513,,,0.27,0.09,,,,,Asymmetric,10.1021/jp206505y,Wadsley-Roth Adjacent,,,0.25
8,0.1757320451875328,0.5222605493818286,0.069663183,1.2284383413912214,192,48,0,144,90.17548225949967,5.479584288787186,-0.831459266,10.48475502264608,32.789059637806346,Nb,O6,Octahedron,144,CaNb2O6,CaNb2O6,Columbite,321.89,3,22.48089409,42.69704626,33.63807857,0.787831513,,,0.27,0.09,,,,,Asymmetric,10.1021/jp206505y,Wadsley-Roth Adjacent,,,0.25
9,0.031929186,0.1665249205139134,0.012959248,1.2086765566615918,192,48,0,144,89.99489631565643,3.665677216343048,1.0229272134796126,12.02522956805557,14.658780547647698,Co,O6,Octahedron,144,Nb2CoO6,CoNb2O6,,,,,,,,,,,,,,,,,,,,,0.25
10,0.1787806149927902,1.0275791125328615,0.074416511,1.2027974055060002,192,48,0,144,89.98260324356754,2.9780501535500794,-0.739598818,10.910278137597937,9.675365851848024,Nb,O6,Octahedron,144,Nb2CoO6,CoNb2O6,,,,,,,,,,,,,,,,,,,,,0.25
11,0.1528443067188806,0.6151415920393316,0.067318411,1.2088298404507194,192,48,0,144,89.99997335087983,3.103740202691492,0.2725419047941197,12.045926126152144,10.508948996196652,Cu,O6,Octahedron,144,Nb2CuO6,CuNb2O6,Columbite,345.36,3,256,617.114,254.7,0.412727632,234.11,0.379362646,4.964937024,1.654979008,,,,,Asymmetric,10.1039/D0QI00475H,Wadsley-Roth Adjacent,,,0.25
12,0.1378501478068349,0.2701498262557099,0.059474748,1.2224638073013714,192,48,0,144,90.01033929014072,3.191322065,-1.052093558,10.480199470778809,11.112516813883015,Nb,O6,Octahedron,144,Nb2CuO6,CuNb2O6,Columbite,345.36,3,256,617.114,254.7,0.412727632,234.11,0.379362646,4.964937024,1.654979008,,,,,Asymmetric,10.1039/D0QI00475H,Wadsley-Roth Adjacent,,,0.25
