Unnamed: 0,avg_bond_length,std_bond_length,skew_bond_length,distortion_index,quadratic_elongation,n_corner_pairs,n_edge_pairs,n_face_pairs,n_atoms_in_cell,avg_bond_angles,std_bond_length_angles,skew_bond_length_angles,volumes,bond_angle_variance,central_atoms,polyhedra_formula,poly_types,n_atoms_per_cell,Formula,cif_name,Structure type,Mol wt (g/mol),Central Atom(s),Total Number of TM,Capacity (mAh/g),1st Discharge (mAh/g),1st Charge (mAh/g),1st Charge/1st Discharge Ratio,2nd Discharge (mAh/g),2nd/1st Discharge Ratio,x moles of Li+,Li/TM ,Rate of cycling (nC),m (width),n (height),Repeat (e.g. ? or 1 ),Starting Voltage (V),Ending Voltage (V),Cycling Shape,Paper with reported capacity,Notes,Structure,Area,Perimeter
1,1.902699693415706,0.01697078,0.7071067811865737,0.008409212,1.2061392421332495,0.125,0.03125,0,64,89.95853335536795,2.181422846557404,0.056972019,9.006897087851161,5.193081947017799,W,O6,Octahedron,64,WO3,(Nb0.118 W0.882)O2.941,,,,,,,,,,,,,,,,,,,,,,Wadsley-Roth,0,0
2,1.9026996934157063,0.01697078,0.7071067811865575,0.008409212,1.206139242,0.125,0.03125,0,64,89.95853335536793,2.181422846557417,0.056972019,9.006897087851167,5.193081947,W,O6,Octahedron,64,WO3,(Nb0.118 W0.882)O2.941,,,,,,,,,,,,,,,,,,,,,,Wadsley-Roth,0,0
3,1.9026996934157063,0.01697078,0.7071067811865445,0.008409212,1.2061392421332495,0.6875,0.171875,0,64,89.95853335536793,2.181422846557413,0.056972019,9.006897087851168,5.193081947017844,W,O6,Octahedron,64,WO3,(Nb0.118 W0.882)O2.941,,,,,,,,,,,,,,,,,,,,,,Wadsley-Roth,0,0
4,1.902699693415707,0.01697078,0.7071067811864953,0.008409212,1.2061392421332504,0.0625,0.015625,0,64,89.95853335536793,2.181422846557425,0.056972019,9.006897087851168,5.193081947017898,W,O6,Octahedron,64,WO3,(Nb0.118 W0.882)O2.941,,,,,,,,,,,,,,,,,,,,,,Wadsley-Roth,0,0
5,1.865285477101188,0.1122680752080148,-1.76825999,0.044747388,1.222065766857657,0.1111111111111111,0.044444444,0,180,90.25123046035894,5.658334281115502,-0.132499991,8.320600797580529,34.99621482,V,O6,Octahedron,180,V3O7,(W0.2V0.8)3O7,WR,344.56,"W,V",1,180,286.96,267.39,0.931802342,263.81,0.919326735,2.671048142,2.671048142,5,4,4,1,1,3,Symmetric,10.1021/acs.chemmater.0c03496?ref=pdf,Capacity approximated from Fig 5c in paper,Wadsley-Roth,16,8
6,1.865285477101188,0.1122680752080139,-1.76825999,0.044747388,1.2220657668576584,0.027777778,0.011111111,0,180,90.25123046035894,5.658334281115526,-0.132499991,8.320600798,34.99621481570109,V,O6,Octahedron,180,V3O7,(W0.2V0.8)3O7,WR,344.56,"W,V",1,180,286.96,267.39,0.931802342,263.81,0.919326735,2.671048142,2.671048142,5,4,4,1,1,3,Symmetric,10.1021/acs.chemmater.0c03496?ref=pdf,Capacity approximated from Fig 5c in paper,Wadsley-Roth,16,8
7,1.865285477101188,0.1122680752080145,-1.76825999,0.044747388,1.222065766857657,0.1666666666666666,0.066666667,0,180,90.25123046035894,5.658334281115504,-0.132499991,8.320600797580534,34.99621482,V,O6,Octahedron,180,V3O7,(W0.2V0.8)3O7,WR,344.56,"W,V",1,180,286.96,267.39,0.931802342,263.81,0.919326735,2.671048142,2.671048142,5,4,4,1,1,3,Symmetric,10.1021/acs.chemmater.0c03496?ref=pdf,Capacity approximated from Fig 5c in paper,Wadsley-Roth,16,8
8,1.8652854771011889,0.1122680752080149,-1.76825999,0.044747388,1.2220657668576582,0.1944444444444444,0.077777778,0,180,90.25123046035894,5.6583342811154935,-0.132499991,8.320600797580536,34.996214815700675,V,O6,Octahedron,180,V3O7,(W0.2V0.8)3O7,WR,344.56,"W,V",1,180,286.96,267.39,0.931802342,263.81,0.919326735,2.671048142,2.671048142,5,4,4,1,1,3,Symmetric,10.1021/acs.chemmater.0c03496?ref=pdf,Capacity approximated from Fig 5c in paper,Wadsley-Roth,16,8
9,1.8652854771011889,0.1122680752080143,-1.76825999,0.044747388,1.222065766857658,0.083333333,0.033333333,0,180,90.25123046035894,5.658334281115489,-0.132499991,8.320600798,34.99621481570062,V,O6,Octahedron,180,V3O7,(W0.2V0.8)3O7,WR,344.56,"W,V",1,180,286.96,267.39,0.931802342,263.81,0.919326735,2.671048142,2.671048142,5,4,4,1,1,3,Symmetric,10.1021/acs.chemmater.0c03496?ref=pdf,Capacity approximated from Fig 5c in paper,Wadsley-Roth,16,8
10,1.865285477101189,0.1122680752080147,-1.76825999,0.044747388,1.2220657668576578,0.083333333,0.033333333,0,180,90.25123046035895,5.658334281115496,-0.132499991,8.320600797580543,34.99621481570071,V,O6,Octahedron,180,V3O7,(W0.2V0.8)3O7,WR,344.56,"W,V",1,180,286.96,267.39,0.931802342,263.81,0.919326735,2.671048142,2.671048142,5,4,4,1,1,3,Symmetric,10.1021/acs.chemmater.0c03496?ref=pdf,Capacity approximated from Fig 5c in paper,Wadsley-Roth,16,8
